ProductKey,Product Code,Product Name,Manufacturer,Brand,Subcategory,Category,Color
743,0308001,Contoso Rechargeable Battery E100 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
744,0308002,Contoso Dual USB Power Adapter - power adapter E300 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
745,0308003,Contoso Car power adapter M90 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
746,0308004,Contoso Notebook Peripheral Kit M69 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
747,0308005,Contoso Mouse Lock Bundle E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
748,0308006,Contoso Education Supplies Bundle E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
749,0308007,Contoso Laptop Starter Bundle M200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
750,0308008,Contoso Education Essentials Bundle M300 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
751,0308009,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
752,0308010,Contoso Power Inverter - DC to AC power inverter E900 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
753,0308011,Contoso Smart Battery M901 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
754,0308012,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
755,0308013,Contoso Home/Office Laptop Power Adapter E300 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
756,0308014,Contoso USB 2.0 Dock Station docking station M800 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
757,0308015,Contoso Enhanced Capacity Battery M800 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
758,0308016,Contoso Connectivity Starter Kit Smart Buy M680 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
759,0308017,Contoso 90W AC/DC Power Adapter E300 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
760,0308018,Contoso Reserve Pen - Tablet Pen E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
761,0308019,Contoso USB Data Link-direct connect adapter E600 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
762,0308020,Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
763,0308021,Contoso Digital camera accessory kit M200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
764,0308022,Contoso Leather Case - case for digital photo camera X20 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
765,0308023,Contoso Lens cap E80 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
766,0308024,Contoso Battery charger - bike E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
767,0308025,Contoso USB Optical Mouse E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
768,0308026,Contoso ADSL Modem Splitter/Filter X 1 E100 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
769,0308027,Contoso ADSL Modem Splitter/Filter X 2 E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
770,0308028,Contoso ADSL Modem Splitter/Filter X 3 E300 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
771,0308029,Contoso USB Wave Multi-media Keyboard E280 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
772,0308030,Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Black
773,0308031,Contoso USB Wave Multi-media Keyboard E280 Blue,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Blue
774,0308032,Contoso USB Optical Mouse E200 Blue,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Blue
775,0308033,Contoso Smart Battery M901 Blue,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Blue
776,0308034,Contoso Digital Camera Accessory kit M200 Blue,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Blue
777,0308035,Contoso Reserve Pen -Tablet Pen E200 Blue,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Blue
778,0308036,Contoso Rechargeable Battery E100 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
779,0308037,Contoso Dual USB Power Adapter - power adapter E300 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
780,0308038,Contoso Car power adapter M90 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
781,0308039,Contoso Notebook Peripheral Kit M69 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
782,0308040,Contoso Mouse Lock Bundle E200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
783,0308041,Contoso Education Supplies Bundle E200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
784,0308042,Contoso Laptop Starter Bundle M200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
785,0308043,Contoso Education Essentials Bundle M300 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
786,0308044,Contoso Desktop Alternative Bundle E200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
787,0308045,Contoso Power Inverter - DC to AC power inverter E900 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
788,0308046,Contoso Smart Battery M901 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
789,0308047,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
790,0308048,Contoso Home/Office Laptop Power Adapter E300 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
791,0308049,Contoso USB 2.0 Dock Station docking station M800 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
792,0308050,Contoso Enhanced Capacity Battery M800 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
793,0308051,Contoso Connectivity Starter Kit Smart Buy M680 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
794,0308052,Contoso 90W AC/DC Power Adapter E300 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
795,0308053,Contoso Reserve Pen - Tablet Pen E200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
796,0308054,Contoso USB Data Link - direct connect adapter E600 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
797,0308055,Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
798,0308056,Contoso Digital camera accessory kit M200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
799,0308057,Contoso Leather Case - case for digital photo camera X20 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
800,0308058,Contoso Lens cap E80 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
801,0308059,Contoso Battery charger - bike E200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
802,0308060,Contoso USB Optical Mouse E200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
803,0308061,Contoso ADSL Modem Splitter/Filter X 1 E100 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
804,0308062,Contoso ADSL Modem Splitter/Filter X 2 E200 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
805,0308063,Contoso ADSL Modem Splitter/Filter X 3 E300 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
806,0308064,Contoso USB Wave Multi-media Keyboard E280 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
807,0308065,Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White,"Contoso, Ltd",Contoso,Computers Accessories,Computers,White
808,0308066,Contoso Rechargeable Battery E100 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
809,0308067,Contoso Dual USB Power Adapter - power adapter E300 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
810,0308068,Contoso Car power adapter M90 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
811,0308069,Contoso Notebook Peripheral Kit M69 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
812,0308070,Contoso Mouse Lock Bundle E200 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
813,0308071,Contoso Education Supplies Bundle E200 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
814,0308072,Contoso Laptop Starter Bundle M200 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
815,0308073,Contoso Education Essentials Bundle M300 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
816,0308074,Contoso Desktop Alternative Bundle E200 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
817,0308075,Contoso Power Inverter - DC to AC power inverter E900 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
818,0308076,Contoso Smart Battery M901 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
819,0308077,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
820,0308078,Contoso Home/Office Laptop Power Adapter E300 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
821,0308079,Contoso USB 2.0 Dock Station docking station M800 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
822,0308080,Contoso Enhanced Capacity Battery M800 Grey,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Grey
